id,posicion,pelicula,bruto,release,total,studio,mesActual
266,67,EO,41729,Nov 18,41729,Sideshow Releasing,march
267,68,Juniper,41426,Feb 24,41426,Greenwich Entertainment,march
268,69,Black Panther: Wakanda Forever,31368,Nov 11,31368,Walt Disney Studios Motion Pictures,march
269,70,Bunker,30194,Feb 24,30194,Blue Fox Entertainment,march
270,71,Enys Men,30006,Mar 31,30006,-,march
271,72,The Trial,24859,Dec 9,24859,Rialto Pictures,march
272,73,The Innocent,22262,Mar 17,22262,Janus Films,march
273,74,My Happy Ending,21899,Feb 24,21899,Roadside Attractions,march
274,75,Guitar Lessons,21808,Sep 23,21808,-,march
275,76,Unwelcome,21284,Mar 10,21284,Well Go USA Entertainment,march
276,77,Nam June Paik: Moon Is the Oldest TV,21132,Mar 24,21132,Greenwich Entertainment,march
277,78,Godland,19826,Feb 3,19826,Janus Films,march
278,79,Tori and Lokita,19741,Mar 24,19741,Janus Films,march
279,80,The Forger,17193,Mar 3,17193,Kino Lorber,march
280,81,All the Beauty and the Bloodshed,16932,Nov 23,16932,-,march
281,82,Summoning Sylvia,16851,Mar 31,16851,-,march
282,83,Plane,16148,Jan 13,16148,Lionsgate,march
283,84,Of an Age,15385,Feb 17,15385,Focus Features,march
284,85,Chocolat,14720,Feb 24,14720,Janus Films,march
285,86,Rodeo,14664,Mar 17,14664,Music Box Films,march
286,87,A Difficult Life,13871,Feb 3,13871,Rialto Pictures,march
287,88,Drylongso,13831,Mar 17,13831,Janus Films,march
288,89,"What the Hell Happened to Blood, Sweat & Tears?",12504,Mar 24,12504,Abramorama,march
289,90,Cinema Sabaya,11192,Feb 10,11192,Kino Lorber,march
290,91,No Bears,10775,Dec 23,10775,Janus Films,march
291,92,Full Time,10178,Feb 3,10178,Music Box Films,march
292,93,MindReader,9348,Oct 24,9348,Five & Two Pictures,march
293,94,The Civil Dead,9060,Feb 10,9060,Utopia,march
294,95,Give Me Pity!,8572,Mar 3,8572,Utopia,march
295,96,The Five Devils,8150,Mar 24,8150,MUBI,march
296,97,I Got a Monster,7971,Mar 10,7971,Greenwich Entertainment,march
297,98,Gods of Mexico,7031,Mar 3,7031,Oscilloscope,march
298,99,La civil,6884,Mar 3,6884,-,march
299,100,The Man in the Basement,6122,Jan 27,6122,Greenwich Entertainment,march
300,101,Smoking Causes Coughing,5866,Mar 31,5866,Magnolia Pictures,march
301,102,Only in Theaters,5809,Nov 18,5809,-,march
302,103,Whitney Houston: I Wanna Dance with Somebody,5780,Dec 23,5780,TriStar Pictures,march
303,104,Therapy Dogs,5393,Mar 10,5393,Utopia,march
304,105,Making Him Famous,4967,Mar 17,4967,Atlas Distribution Company,march
305,106,The Sorrow and the Pity,4623,Feb 24,4623,Kino Lorber,march
306,107,The Innocents,4348,May 13,4348,IFC Films,march
307,108,Filmmakers for the Prosecution,4172,Jan 27,4172,Kino Lorber,march
308,109,God's Time,3892,Feb 24,3892,IFC Films,march
309,110,Rimini,3774,Mar 15,3774,Big World Pictures,march
310,111,Skinamarink,3674,Jan 13,3674,IFC Films,march
311,112,The Runner,3235,Oct 28,3235,Rialto Pictures,march
312,113,The Headmistress,3075,Jan 13,3075,Indican Pictures,march
313,114,In Viaggio: The Travels of Pope Francis,2621,Mar 31,2621,Magnolia Pictures,march
314,115,The Worst Ones,2615,Mar 24,2615,Kino Lorber,march
315,116,Consecration,2512,Feb 10,2512,IFC Films,march
316,117,Cat Daddies,2453,Oct 14,2453,Sky Island Films,march
317,118,Film: The Living Record of Our Memory,2440,Feb 24,2440,Kino Lorber,march
318,119,Brotherhood of the Wolf,2061,Jan 20,2061,Rialto Pictures,march
319,120,Framing Agnes,1735,Dec 2,1735,Kino Lorber,march
320,121,Utama,1550,Nov 4,1550,Kino Lorber,march
321,122,Boblo Boats: A Detroit Ferry Tale,913,Sep 16,913,Lucky Hat Entertainment,march
322,123,Brainwashed: Sex-Camera-Power,890,Oct 21,890,Kino Lorber,march
323,124,The Super 8 Years,858,Dec 16,858,Kino Lorber,march
324,125,Leonor Will Never Die,737,Nov 25,737,Music Box Films,march
325,126,Eight Deadly Shots,539,Mar 31,539,Janus Films,march
326,127,Corsage,300,Dec 23,300,IFC Films,march
327,128,Imagining the Indian,197,Mar 31,197,Ciesla Foundation,march
328,129,Holy Spider,185,Oct 28,185,Utopia,march
329,130,Venus,136,Mar 31,136,Sony Pictures Entertainment (SPE),march
330,131,Please Baby Please,128,Oct 28,128,Music Box Films,march
331,1,The Super Mario Bros. Movie,490851630,Apr 5,490851630,Universal Pictures,april
332,2,John Wick: Chapter 4,73534908,Mar 24,73534908,Lionsgate,april
333,3,Dungeons & Dragons: Honor Among Thieves,73009377,Mar 31,73009377,Paramount Pictures,april
334,4,Air,47632574,Apr 5,47632574,-,april
335,5,Evil Dead Rise,44347368,Apr 21,44347368,Warner Bros.,april
336,6,The Pope's Exorcist,18016970,Apr 14,18016970,Screen Gems,april
337,7,Renfield,16341400,Apr 14,16341400,Universal Pictures,april
338,8,Scream VI,13622755,Mar 10,13622755,Paramount Pictures,april
339,9,The Covenant,12274737,Apr 21,12274737,Metro-Goldwyn-Mayer (MGM),april
340,10,Creed III,11058143,Mar 3,11058143,United Artists Releasing,april
341,11,His Only Son,9884724,Mar 31,9884724,Angel Studios,april
342,12,Suzume,9770444,Apr 14,9770444,Crunchyroll,april
343,13,Shazam! Fury of the Gods,7556261,Mar 17,7556261,Warner Bros.,april
344,14,"Are You There God? It's Me, Margaret.",6739037,Apr 28,6739037,Lionsgate,april
345,15,Beau Is Afraid,5692874,Apr 14,5692874,A24,april
346,16,Star Wars: Episode VI - Return of the Jedi,5100654,Apr 28,5100654,-,april
347,17,Ponniyin Selvan: Part Two,3813000,Apr 28,3813000,-,april
348,18,The Journey: A Music Special from Andrea Bocelli,3574915,Apr 2,3574915,Fathom Events,april
349,19,Mafia Mamma,3496761,Apr 14,3496761,Bleecker Street Media,april
350,20,Nefarious,3414106,Apr 14,3414106,Soli Deo Gloria Releasing,april
351,21,Sisu,3330891,Apr 28,3330891,Lionsgate,april
352,22,Big George Foreman,2925364,Apr 28,2925364,Sony Pictures Entertainment (SPE),april
353,23,Avatar: The Way of Water,2802843,Dec 16,2802843,20th Century Studios,april
354,24,Chevalier,2787791,Apr 21,2787791,Walt Disney Studios Motion Pictures,april
355,25,A Thousand and One,2692100,Mar 31,2692100,Focus Features,april
356,26,65,2582558,Mar 10,2582558,Sony Pictures Entertainment (SPE),april
357,27,Jesus Revolution,1910185,Feb 24,1910185,Lionsgate,april
358,28,Ant-Man and the Wasp: Quantumania,1844824,Feb 17,1844824,Walt Disney Studios Motion Pictures,april
359,29,Champions,1803490,Mar 10,1803490,Focus Features,april
360,30,Come Out in Jesus Name,1570120,Mar 13,1570120,Fathom Events,april
361,31,Everything Everywhere All at Once,1517867,Mar 25,1517867,A24,april
362,32,Spirited Away,1324507,Apr 23,1324507,Fathom Events,april
363,33,Somewhere in Queens,1309643,Apr 21,1309643,Roadside Attractions,april
364,34,Cocaine Bear,1215230,Feb 24,1215230,Universal Pictures,april
365,35,The Lord of the Rings: The Return of the King,1176085,Apr 13,1176085,Fathom Events,april
366,36,Puss in Boots: The Last Wish,975295,Dec 21,975295,Universal Pictures,april
367,37,Polite Society,817740,Apr 28,817740,Focus Features,april
368,38,Paint,807507,Apr 7,807507,IFC Films,april
369,39,A Good Person,799468,Mar 24,799468,United Artists Releasing,april
370,40,Showing Up,769862,Apr 7,769862,A24,april
371,41,How to Blow Up a Pipeline,725655,Apr 7,725655,-,april
372,42,The Thorn,577004,Mar 6,577004,Fathom Events,april
373,43,Sweetwater,541633,Apr 14,541633,Briarcliff Entertainment,april
374,44,Mummies,457944,Feb 24,457944,Warner Bros.,april
375,45,The Lost King,354842,Mar 24,354842,IFC Films,april
376,46,Mirando Al Cielo,295539,Apr 18,295539,Fathom Events,april
377,47,The Quiet Girl,200174,Feb 24,200174,Neon,april
378,48,Born to Fly,193927,Apr 28,193927,Well Go USA Entertainment,april
379,49,Return to Seoul,183975,Feb 17,183975,Sony Pictures Classics,april
380,50,Wild Life,181470,Apr 14,181470,Picturehouse,april
381,51,The Whale,174901,Dec 9,174901,A24,april
382,52,La Usurpadora: The Musical,160527,Apr 7,160527,Pantelion Films,april
383,53,Moving On,143753,Mar 17,143753,Roadside Attractions,april
384,54,Malum,131333,Mar 31,131333,-,april
385,55,Enys Men,130773,Mar 31,130773,-,april
386,56,Ride On,128950,Apr 7,128950,Well Go USA Entertainment,april
387,57,Joyland,124023,Apr 7,124023,Oscilloscope,april
388,58,Little Richard: I Am Everything,108322,Apr 21,108322,Magnolia Pictures,april
389,59,The Lost Weekend: A Love Story,102531,Apr 13,102531,-,april
390,60,School of Magical Animals,63491,Mar 24,63491,Blue Fox Entertainment,april
391,61,Smoking Causes Coughing,52966,Mar 31,52966,Magnolia Pictures,april
